godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2026;9999;NIJE DEFINIRANO;43135028.54;27;2;3.35
2026;4212;POSLOVNI OBJEKTI;42250516.79;358;82;3.28
2026;3239;OSTALE USLUGE;35886144.04;3348;428;2.79
2026;5443;OTPLATA GLAVNICE PRIMLJENIH KREDITA OD TUZEMNIH KREDITNIH INSTITUCIJA IZVAN JAVNOG SEKTORA;32852059.34;523;45;2.55
2026;3721;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NOVCU;29044227.31;635;115;2.26
2026;3722;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NARAVI;23696553.35;2538;141;1.84
2026;3223;ENERGIJA;23224707.10;11419;347;1.80
2026;3235;ZAKUPNINE I NAJAMNINE;22950511.95;1522;147;1.78
2026;3121;OSTALI RASHODI ZA ZAPOSLENE;22390296.34;4196;281;1.74
2026;3661;TEKUĆE POMOĆI PRORAČUNSKIM KORISNICIMA DRUGIH PRORAČUNA;21271232.52;103;29;1.65
2026;4213;CESTE, ŽELJEZNICE I OSTALI PROMETNI OBJEKTI;20964220.40;710;51;1.63
2026;3234;KOMUNALNE USLUGE;12918276.66;15105;410;1.00
2026;3222;MATERIJAL I SIROVINE;11549003.80;1678;284;0.90
2026;3299;OSTALI NESPOMENUTI RASHODI POSLOVANJA;11053579.90;2964;526;0.86
2026;23111;OBVEZE ZA ZAPOSLENE I PRIVREMENO ZAPOSLENE;10851515.12;484;61;0.84
2026;3861;KAPITALNE POMOĆI KREDITNIM I OSTALIM FINANCIJSKIM INSTITUCIJAMA TE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEK;10058290.92;34;4;0.78
2026;27311;OBVEZE ZA NAPLAĆENE TUĐE PRIHODE;9057472.56;1059;191;0.70
2026;5321;DIONICE I UDJELI U GLAVNICI TRGOVAČKIH DRUŠTAVA U JAVNOM SEKTORU;8500000.00;1;1;0.66
2026;3237;INTELEKTUALNE I OSOBNE USLUGE;8416914.23;4346;444;0.65
2026;5141;DANI ZAJMOVI TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;7492500.00;2;1;0.58
2026;4221;UREDSKA OPREMA I NAMJEŠTAJ;7428178.56;526;227;0.58
2026;3212;NAKNADE ZA PRIJEVOZ, ZA RAD NA TERENU I ODVOJENI ŽIVOT;6554276.74;3598;325;0.51
2026;3238;RAČUNALNE USLUGE;6485208.31;2473;367;0.50
2026;3291;NAKNADE ZA RAD PREDSTAVNIČKIH I IZVRŠNIH TIJELA, POVJERENSTAVA I SLIČNO;4379231.10;1974;321;0.34
2026;3231;USLUGE TELEFONA, INTERNETA, POŠTE I PRIJEVOZA;4155474.69;3118;335;0.32
2026;3693;TEKUĆI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA TEMELJEM PRIJENOSA EU SREDSTAVA;3798158.38;577;93;0.29
2026;3523;SUBVENCIJE POLJOPRIVREDNICIMA I OBRTNICIMA;3501002.91;923;34;0.27
2026;3691;TEKUĆI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA;3417939.30;178;64;0.27
